Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
167.1636527499999,1309.0999999999997,,,,-0.0310546875,0.01982421875,-0.97568359375,0.2044350308833765,0.08985309575556095,19.888569998241582,-0.007344909631541724,4560,2280,0.14608018258093325,48.80537487133677,35585.637102877736,0.0018410495326547783,0,0.1708984375,,
170.03530624999988,1314,,,,-0.02890625,0.006640625,-0.9724609375,0.20427866635851447,0.08901462330276513,19.886335217922614,-0.008047505604957365,4599,2304,0.16003522197937056,49.28990144013828,31500.23014763077,0.001805940925166753,0,0.161328125,,
172.91857199999987,1318.9000000000003,,,,-0.015234375,0.001171875,-0.98017578125,0.2044051391318399,0.0893154398819861,19.883744917788313,-0.007529727759166145,4663,2332,0.14971919319500487,49.90689684378456,33667.142654654235,0.001789641200038898,0,0.15712890625,,
175.68723799999984,1323.7999999999997,,,,-0.036328125,0.02509765625,-0.9771484375,0.20435395512656274,0.08893641945831207,19.88190369293465,-0.006879105414674236,13943,2328,0.1367695038632339,49.81573462382523,37324.890067552005,0.0017853101207777468,0,0.1599609375,,
178.60776574999988,1328.7000000000003,,,,-0.03056640625,0.01083984375,-0.9724609375,0.20451256813751556,0.08995519113167502,19.876880954000523,-0.007626523966270722,14213,2374,0.1515915722937284,50.834645054134555,33782.85048543696,0.0017695642551360739,0,0.16513671875,,
181.4806599999999,1333.5999999999997,,,,-0.02939453125,0.01376953125,-0.97763671875,0.2044696715317608,0.08923155271567472,19.874282361270115,-0.00627603601927546,14490,2403,0.12473196425982687,51.45751508900914,42627.69075440221,0.001734093174755946,0,0.19638671875,,
184.3653184999999,1338.5,,,,-0.0296875,0.01279296875,-0.97451171875,0.20436002346328794,0.0892461542041431,19.871681153408396,-0.008198294020776195,14598,2426,0.16291387271563348,51.91480176549982,32140.48288729405,0.0017190893143213912,0,0.23193359375,,
187.29412999999985,1343.4000000000003,,,,-0.03046875,0.0134765625,-0.9763671875,0.20427214218149897,0.08953095896857598,19.869251606185575,-0.00732606057318327,14733,2449,0.14556319730166906,52.393382572207145,36552.10280991643,0.0017088213398633787,0,0.24130859375,,
190.14229599999987,1348.2999999999997,,,,-0.03828125,0.01318359375,-0.98154296875,0.20432185007850207,0.08933607533439417,19.86686605751737,-0.008039061313680006,14873,2476,0.15971091029244808,52.97603826592481,33406.81308461297,0.001686349193750506,0,0.283203125,,
193.03631624999983,1353.2000000000003,,,,-0.0330078125,0.01357421875,-0.97314453125,0.2043677229460993,0.08929955648979164,19.862813376474794,-0.0056695252824697975,15139,2522,0.1126127649041141,53.974815989318714,48913.95514580952,0.0016544687562486554,0,0.27978515625,,
195.94674399999985,1358.0999999999997,,,,-0.02978515625,0.00947265625,-0.9740234375,0.20445237452230763,0.08944925946155083,19.859291313277986,-0.006838896211831211,15397,2551,0.13581624565248854,54.6115051076621,42104.32536546744,0.001637920799383148,0,0.2640625,,
198.8371444999999,1363,,,,-0.03916015625,0.00849609375,-0.97529296875,0.20438472381617262,0.08957249049897612,19.855180405792414,-0.006217465544113879,15367,2566,0.12344855283737337,54.915131524462495,45638.52870636816,0.0016311175111878979,0,0.28984375,,
201.65565499999983,1367.9000000000005,,,,-0.03330078125,0.02421875,-0.9771484375,0.20423885117453722,0.08895245214043032,19.851161610540185,-0.006683995578997183,15547,2582,0.13268531676088396,55.21882663379504,43899.70541078717,0.0016109077480937271,0,0.26787109375,,
204.47210474999986,1372.7999999999995,,,,-0.03447265625,0.0109375,-0.97412109375,0.20431621234568403,0.08870265161629919,19.84675797914553,-0.008563821647941788,15813,2623,0.16996321366984998,56.11990958200276,34033.58082171703,0.0015805915774327003,0,0.29755859375,,
207.34187049999983,1377.7000000000005,,,,0.097265625,0.04013671875,-0.9474609375,0.20453051571920336,0.08931803695679476,19.843410838756625,-0.008016786499879728,15915,2645,0.1590800125174836,56.64358437700878,36408.859888057435,0.001576842554959457,0,0.3333984375,,
210.2080957499999,1382.5999999999995,,,,0.0033203125,0.00400390625,-0.9654296875,0.2043541037981543,0.08850855664764659,19.83921274633265,-0.00782879013980474,16013,2666,0.1553174031649017,57.05204933992189,37595.85220273379,0.0015513638236200234,0,0.49228515625,,
213.13001049999986,1387.5,,,,-0.0431640625,0.01826171875,-0.973828125,0.20438990087608117,0.08908791356557559,19.836929944558836,-0.009333298795149285,16088,2686,0.18514416236744408,57.497653773340424,31313.043617275544,0.001549417630307678,0,0.6638671875,,
216.07753949999983,1392.4000000000005,,,,-0.0064453125,-0.01279296875,-0.97744140625,0.2044342984705859,0.08932533717500578,19.8334913475707,-0.007535964115317098,16311,2711,0.14946448641204396,58.03153354043775,40156.19386565652,0.0015392599604995311,0,0.88310546875,,
218.98077524999985,1397.2999999999995,,,,-0.0224609375,0.01279296875,-0.9734375,0.2044107041771801,0.08828909436457762,19.826898869028373,-0.006707400402087426,16563,2749,0.13298691994019787,58.843584416439754,44814.669530815605,0.0015004040869901073,0,1.63037109375,,
221.89039124999985,1402.2000000000005,,,,-0.0345703125,-0.00068359375,-0.969140625,0.20435718857004298,0.08924466722627285,19.82074319912882,-0.007846580594257494,16713,2774,0.15552538909863822,59.358533614150154,39349.704277153556,0.001503485274516915,0,1.71181640625,,
224.88905299999988,1407.0999999999995,,,,-0.0421875,0.0150390625,-0.9771484375,0.2044177719503053,0.0895859459134748,19.810431959045594,-0.008857485939550725,16720,2791,0.1754703495449054,59.75550337237193,34584.537832490656,0.0014992095826981407,0,1.67548828125,,
227.8144462499999,1412,,,,-0.0345703125,0.01240234375,-0.97216796875,0.20443687707955718,0.08961806710494348,19.81225217444407,-0.008318456154029256,16890,2823,0.1648078490769064,60.43098193346948,37604.64137897654,0.0014829833811042215,0,1.33505859375,,
230.71899474999987,1416.9000000000005,,,,-0.05625,0.03671875,-0.98349609375,0.20433483454140355,0.08943545863806195,19.795063487691152,-0.008748681769871928,16882,2860,0.1731807880373648,61.20353744060044,35873.289023152276,0.0014612828229423219,0,0.7875,,
233.6294692499999,1421.7999999999995,,,,-0.021875,-0.01826171875,-0.97197265625,0.20431315189916893,0.09003535464995685,19.780252754668886,-0.008761078869477351,15839,2886,0.1732959130006421,61.746946740110765,36922.515903019914,0.0014581378440710422,0,0.52939453125,,
236.6082447499998,1426.7000000000005,,,,-0.0302734375,0.01328125,-0.97333984375,0.20435642098886078,0.08938559316483904,19.77802584280719,-0.00795365317790648,15664,2909,0.1573082571185598,62.248645314616944,40334.681731510595,0.0014359464825022936,0,0.6119140625,,
